Q,H,P,Ph,ni,e,dHu
29.5001,62.3833,24782.2,5004.82,0.201952,0.840071,5.58428
29.6001,62.3854,24795,5021.96,0.202539,0.837666,5.60862
29.7001,62.3876,24807.8,5039.1,0.203125,0.835278,5.63304
29.8001,62.3897,24820.6,5056.24,0.203711,0.832905,5.65755
29.9001,62.3919,24833.5,5073.38,0.204296,0.830548,5.68214
30.0001,62.394,24846.3,5090.52,0.204881,0.828207,5.70681
30.1001,62.3961,24859.1,5107.66,0.205465,0.825881,5.73156
30.2001,62.3983,24871.9,5124.81,0.206048,0.823571,5.7564
30.3001,62.4004,24884.7,5141.95,0.206631,0.821276,5.78132
30.4001,62.4025,24897.6,5159.1,0.207213,0.818996,5.80632
30.5001,62.4047,24910.4,5176.25,0.207795,0.816732,5.8314
30.6001,62.4068,24923.2,5193.4,0.208376,0.814481,5.85656
30.7001,62.4089,24936,5210.54,0.208957,0.812246,5.88181
30.8001,62.411,24948.8,5227.7,0.209537,0.810025,5.90714
30.9001,62.4132,24961.7,5244.85,0.210116,0.807819,5.93255
31.0001,62.4153,24974.5,5262,0.210695,0.805626,5.95805
31.1001,62.4174,24987.3,5279.15,0.211273,0.803448,5.98362
31.2001,62.4195,25000.1,5296.31,0.211851,0.801284,6.00928
31.3001,62.4216,25012.9,5313.46,0.212428,0.799133,6.03503
31.4001,62.4237,25025.8,5330.62,0.213005,0.796997,6.06085
31.5001,62.4259,25038.6,5347.78,0.213581,0.794874,6.08676
31.6001,62.428,25051.4,5364.94,0.214157,0.792764,6.11275
31.7001,62.4301,25064.2,5382.1,0.214732,0.790668,6.13882
31.8001,62.4322,25077.1,5399.26,0.215307,0.788584,6.16497
31.9001,62.4343,25089.9,5416.42,0.215881,0.786514,6.19121
32.0001,62.4364,25102.7,5433.58,0.216454,0.784457,6.21752
32.1001,62.4385,25115.5,5450.74,0.217027,0.782413,6.24392
32.2001,62.4406,25128.3,5467.91,0.217599,0.780381,6.27041
32.3001,62.4427,25141.2,5485.07,0.218171,0.778362,6.29697
32.4001,62.4448,25154,5502.24,0.218742,0.776355,6.32362
32.5001,62.4469,25166.8,5519.41,0.219313,0.774361,6.35035
32.6001,62.449,25179.6,5536.58,0.219883,0.772379,6.37716
32.7001,62.4511,25192.4,5553.75,0.220453,0.770409,6.40406
32.8001,62.4532,25205.3,5570.92,0.221022,0.768451,6.43103
32.9001,62.4553,25218.1,5588.09,0.221591,0.766505,6.45809
33.0001,62.4574,25230.9,5605.26,0.222159,0.764571,6.48523
33.1001,62.4595,25243.7,5622.43,0.222726,0.762649,6.51246
33.2001,62.4616,25256.5,5639.61,0.223293,0.760738,6.53976
33.3001,62.4637,25269.4,5656.78,0.223859,0.758838,6.56715
33.4001,62.4657,25282.2,5673.96,0.224425,0.75695,6.59462
33.5001,62.4678,25295,5691.14,0.224991,0.755073,6.62218
33.6001,62.4699,25307.8,5708.32,0.225555,0.753208,6.64981
33.7001,62.472,25320.6,5725.5,0.22612,0.751353,6.67753
33.8001,62.4741,25333.5,5742.68,0.226683,0.74951,6.70533
33.9001,62.4762,25346.3,5759.86,0.227247,0.747677,6.73321
34.0001,62.4782,25359.1,5777.04,0.227809,0.745855,6.76118
34.1001,62.4803,25371.9,5794.22,0.228371,0.744044,6.78923
34.2001,62.4824,25384.7,5811.41,0.228933,0.742243,6.81736
34.3,62.4845,25397.6,5828.59,0.229494,0.740453,6.84557
34.4,62.4865,25410.4,5845.78,0.230055,0.738673,6.87386
34.5,62.4886,25423.2,5862.97,0.230615,0.736904,6.90224
34.6,62.4907,25436,5880.16,0.231174,0.735144,6.9307
34.7,62.4927,25448.9,5897.35,0.231733,0.733395,6.95924
34.8,62.4948,25461.7,5914.54,0.232292,0.731656,6.98787
34.9,62.4969,25474.5,5931.73,0.23285,0.729927,7.01657
35,62.4989,25487.3,5948.92,0.233407,0.728208,7.04536
35.1,62.501,25500.1,5966.11,0.233964,0.726499,7.07423
35.2,62.503,25513,5983.31,0.23452,0.724799,7.10319
35.3,62.5051,25525.8,6000.5,0.235076,0.723109,7.13222
35.4,62.5071,25538.6,6017.7,0.235632,0.721429,7.16134
35.5,62.5092,25551.4,6034.9,0.236186,0.719758,7.19054
35.6,62.5113,25564.2,6052.09,0.236741,0.718096,7.21983
35.7,62.5133,25577.1,6069.29,0.237294,0.716444,7.24919
35.8,62.5154,25589.9,6086.49,0.237848,0.714801,7.27864
35.9,62.5174,25602.7,6103.69,0.2384,0.713167,7.30817
36,62.5195,25615.5,6120.9,0.238953,0.711542,7.33778
36.1,62.5215,25628.3,6138.1,0.239504,0.709926,7.36748
36.2,62.5235,25641.2,6155.3,0.240056,0.708319,7.39726
36.3,62.5256,25654,6172.51,0.240606,0.706721,7.42711
36.4,62.5276,25666.8,6189.71,0.241156,0.705132,7.45706
36.5,62.5297,25679.6,6206.92,0.241706,0.703551,7.48708
36.6,62.5317,25692.4,6224.13,0.242255,0.701979,7.51719
36.7,62.5337,25705.3,6241.34,0.242804,0.700416,7.54738
36.8,62.5358,25718.1,6258.55,0.243352,0.698861,7.57765
36.9,62.5378,25730.9,6275.76,0.2439,0.697314,7.608
37,62.5398,25743.7,6292.97,0.244447,0.695776,7.63844
37.1,62.5419,25756.5,6310.18,0.244993,0.694246,7.66896
37.2,62.5439,25769.4,6327.39,0.245539,0.692725,7.69956
37.3,62.5459,25782.2,6344.61,0.246085,0.691211,7.73024
37.4,62.5479,25795,6361.82,0.24663,0.689706,7.76101
37.5,62.55,25807.8,6379.04,0.247175,0.688209,7.79186
37.6,62.552,25820.7,6396.26,0.247719,0.686719,7.82279
37.7,62.554,25833.5,6413.48,0.248262,0.685238,7.8538
37.8,62.556,25846.3,6430.69,0.248805,0.683764,7.8849
37.9,62.558,25859.1,6447.91,0.249348,0.682299,7.91607
38,62.56,25871.9,6465.13,0.24989,0.68084,7.94733
38.1,62.5621,25884.8,6482.36,0.250431,0.67939,7.97868
38.2,62.5641,25897.6,6499.58,0.250973,0.677947,8.0101
38.3,62.5661,25910.4,6516.8,0.251513,0.676512,8.04161
38.4,62.5681,25923.2,6534.03,0.252053,0.675084,8.0732
38.5,62.5701,25936,6551.25,0.252593,0.673664,8.10487
38.6,62.5721,25948.9,6568.48,0.253132,0.672251,8.13663
38.7,62.5741,25961.7,6585.71,0.25367,0.670845,8.16846
38.8,62.5761,25974.5,6602.94,0.254208,0.669446,8.20038
38.9,62.5781,25987.3,6620.17,0.254746,0.668055,8.23238
39,62.5801,26000.1,6637.4,0.255283,0.666671,8.26447
39.1,62.5821,26013,6654.63,0.25582,0.665294,8.29663
39.2,62.5841,26025.8,6671.86,0.256356,0.663923,8.32888
39.3,62.5861,26038.6,6689.09,0.256891,0.66256,8.36121
39.4,62.5881,26051.4,6706.32,0.257426,0.661204,8.39363
39.5,62.5901,26064.2,6723.56,0.257961,0.659855,8.42612
39.6,62.5921,26077.1,6740.8,0.258495,0.658512,8.4587
39.7,62.594,26089.9,6758.03,0.259029,0.657176,8.49136
39.8,62.596,26102.7,6775.27,0.259562,0.655847,8.5241
39.9,62.598,26115.5,6792.51,0.260095,0.654525,8.55693
40,62.6,26128.3,6809.75,0.260627,0.653209,8.58983
40.1,62.602,26141.2,6826.99,0.261158,0.6519,8.62282
40.2,62.604,26154,6844.23,0.26169,0.650597,8.6559
40.3,62.6059,26166.8,6861.47,0.26222,0.649301,8.68905
40.4,62.6079,26179.6,6878.71,0.262751,0.648011,8.72229
40.5,62.6099,26192.5,6895.96,0.26328,0.646728,8.75561
40.6,62.6119,26205.3,6913.2,0.26381,0.645451,8.78901
40.7,62.6138,26218.1,6930.45,0.264338,0.64418,8.82249
40.7999,62.6158,26230.9,6947.69,0.264867,0.642915,8.85606
40.8999,62.6178,26243.7,6964.94,0.265394,0.641657,8.88971
