Q	H	P	Ph	ni	e	dHu
38.4	101.215	23259.7	10570	0.454433	0.605722	8.0732
38.5	101.214	23278.6	10597.4	0.455242	0.604639	8.10487
38.6	101.213	23297.5	10624.8	0.45605	0.603563	8.13663
38.7	101.212	23316.4	10652.2	0.456856	0.602492	8.16846
38.8	101.211	23335.3	10679.7	0.457661	0.601426	8.20038
38.9	101.21	23354.2	10707.1	0.458465	0.600366	8.23238
39	101.209	23373.1	10734.5	0.459267	0.599311	8.26447
39.1	101.208	23392	10761.9	0.460068	0.598262	8.29663
39.2	101.208	23410.9	10789.4	0.460868	0.597218	8.32888
39.3	101.207	23429.8	10816.8	0.461667	0.59618	8.36121
39.4	101.206	23448.8	10844.2	0.462464	0.595146	8.39363
39.5	101.205	23467.7	10871.6	0.46326	0.594118	8.42612
39.6	101.204	23486.6	10899	0.464054	0.593096	8.4587
39.7	101.203	23505.5	10926.5	0.464848	0.592078	8.49136
39.8	101.202	23524.4	10953.9	0.46564	0.591065	8.5241
39.9	101.201	23543.3	10981.3	0.46643	0.590058	8.55693
40	101.2	23562.2	11008.7	0.46722	0.589055	8.58983
40.1	101.199	23581.1	11036.1	0.468008	0.588058	8.62282
40.2	101.198	23600	11063.6	0.468795	0.587065	8.6559
40.3	101.197	23618.9	11091	0.46958	0.586078	8.68905
40.4	101.196	23637.8	11118.4	0.470365	0.585095	8.72229
40.5	101.195	23656.7	11145.8	0.471148	0.584117	8.75561
40.6	101.194	23675.6	11173.2	0.47193	0.583144	8.78901
40.7	101.193	23694.5	11200.6	0.47271	0.582176	8.82249
40.7999	101.192	23713.4	11228.1	0.473489	0.581212	8.85606
40.8999	101.191	23732.3	11255.5	0.474267	0.580253	8.88971
40.9999	101.191	23751.2	11282.9	0.475044	0.579299	8.92344
41.0999	101.19	23770.1	11310.3	0.47582	0.57835	8.95725
41.1999	101.189	23789	11337.7	0.476594	0.577405	8.99115
41.2999	101.188	23807.9	11365.1	0.477367	0.576464	9.02513
41.3999	101.187	23826.9	11392.5	0.478139	0.575529	9.05919
41.4999	101.186	23845.8	11420	0.478909	0.574597	9.09333
41.5999	101.185	23864.7	11447.4	0.479679	0.573671	9.12756
41.6999	101.184	23883.6	11474.8	0.480447	0.572748	9.16187
41.7999	101.183	23902.5	11502.2	0.481214	0.571831	9.19625
41.8999	101.182	23921.4	11529.6	0.481979	0.570917	9.23073
41.9999	101.181	23940.3	11557	0.482743	0.570008	9.26528
42.0999	101.18	23959.2	11584.4	0.483507	0.569103	9.29992
42.1999	101.179	23978.1	11611.8	0.484269	0.568202	9.33464
42.2999	101.178	23997	11639.2	0.485029	0.567306	9.36944
42.3999	101.178	24015.9	11666.7	0.485789	0.566414	9.40433
42.4999	101.177	24034.8	11694.1	0.486547	0.565526	9.43929
42.5999	101.176	24053.7	11721.5	0.487304	0.564642	9.47434
42.6999	101.175	24072.6	11748.9	0.48806	0.563763	9.50947
42.7999	101.174	24091.5	11776.3	0.488815	0.562887	9.54469
42.8999	101.173	24110.4	11803.7	0.489568	0.562016	9.57998
42.9999	101.172	24129.3	11831.1	0.49032	0.561149	9.61536
43.0999	101.171	24148.2	11858.5	0.491071	0.560285	9.65082
43.1999	101.17	24167.1	11885.9	0.491821	0.559426	9.68637
43.2999	101.169	24186.1	11913.3	0.49257	0.558571	9.72199
43.3999	101.168	24205	11940.7	0.493318	0.557719	9.7577
43.4999	101.168	24223.9	11968.1	0.494064	0.556872	9.79349
43.5999	101.167	24242.8	11995.5	0.494809	0.556028	9.82936
43.6999	101.166	24261.7	12022.9	0.495553	0.555188	9.86532
43.7999	101.165	24280.6	12050.3	0.496296	0.554352	9.90136
43.8999	101.164	24299.5	12077.8	0.497037	0.55352	9.93748
43.9999	101.163	24318.4	12105.2	0.497778	0.552692	9.97368
44.0999	101.162	24337.3	12132.6	0.498517	0.551867	10.01
44.1999	101.161	24356.2	12160	0.499255	0.551046	10.0463
44.2999	101.16	24375.1	12187.4	0.499992	0.550229	10.0828
44.3999	101.159	24394	12214.8	0.500728	0.549416	10.1193
44.4999	101.158	24412.9	12242.2	0.501463	0.548606	10.1559
44.5999	101.158	24431.8	12269.6	0.502196	0.5478	10.1926
44.6999	101.157	24450.7	12297	0.502928	0.546997	10.2294
44.7999	101.156	24469.6	12324.4	0.503659	0.546198	10.2663
44.8999	101.155	24488.5	12351.8	0.50439	0.545403	10.3032
44.9999	101.154	24507.4	12379.2	0.505118	0.544611	10.3402
45.0999	101.153	24526.3	12406.6	0.505846	0.543823	10.3773
45.1999	101.152	24545.3	12434	0.506573	0.543038	10.4145
45.2999	101.151	24564.2	12461.4	0.507298	0.542257	10.4518
45.3999	101.15	24583.1	12488.7	0.508022	0.541479	10.4892
45.4999	101.149	24602	12516.1	0.508746	0.540704	10.5266
45.5999	101.149	24620.9	12543.5	0.509468	0.539933	10.5641
45.6999	101.148	24639.8	12570.9	0.510189	0.539165	10.6017
45.7999	101.147	24658.7	12598.3	0.510908	0.538401	10.6394
45.8999	101.146	24677.6	12625.7	0.511627	0.53764	10.6772
45.9999	101.145	24696.5	12653.1	0.512345	0.536882	10.715
46.0999	101.144	24715.4	12680.5	0.513061	0.536127	10.753
46.1999	101.143	24734.3	12707.9	0.513777	0.535376	10.791
46.2999	101.142	24753.2	12735.3	0.514491	0.534628	10.8291
46.3999	101.141	24772.1	12762.7	0.515204	0.533883	10.8672
46.4999	101.14	24791	12790.1	0.515916	0.533142	10.9055
46.5999	101.139	24809.9	12817.5	0.516627	0.532403	10.9439
46.6999	101.139	24828.8	12844.9	0.517337	0.531668	10.9823
46.7999	101.138	24847.7	12872.3	0.518045	0.530936	11.0208
46.8999	101.137	24866.6	12899.6	0.518753	0.530207	11.0594
46.9999	101.136	24885.5	12927	0.519459	0.529481	11.0981
47.0999	101.135	24904.4	12954.4	0.520165	0.528759	11.1368
47.1999	101.134	24923.4	12981.8	0.520869	0.528039	11.1756
47.2999	101.133	24942.3	13009.2	0.521572	0.527322	11.2146
47.3998	101.132	24961.2	13036.6	0.522274	0.526609	11.2536
47.4998	101.131	24980.1	13064	0.522976	0.525898	11.2927
47.5998	101.13	24999	13091.4	0.523676	0.52519	11.3318
47.6998	101.13	25017.9	13118.7	0.524374	0.524486	11.3711
47.7998	101.129	25036.8	13146.1	0.525072	0.523784	11.4104
47.8998	101.128	25055.7	13173.5	0.525769	0.523085	11.4498
47.9998	101.127	25074.6	13200.9	0.526465	0.522389	11.4893
48.0998	101.126	25093.5	13228.3	0.527159	0.521696	11.5289
48.1998	101.125	25112.4	13255.7	0.527853	0.521006	11.5686
48.2998	101.124	25131.3	13283	0.528545	0.520319	11.6083
48.3998	101.123	25150.2	13310.4	0.529237	0.519634	11.6481
48.4998	101.122	25169.1	13337.8	0.529927	0.518953	11.688
48.5998	101.121	25188	13365.2	0.530616	0.518274	11.728
48.6998	101.12	25206.9	13392.6	0.531304	0.517598	11.7681
48.7998	101.12	25225.8	13419.9	0.531992	0.516925	11.8083
48.8998	101.119	25244.7	13447.3	0.532678	0.516254	11.8485
48.9998	101.118	25263.6	13474.7	0.533363	0.515586	11.8888
49.0998	101.117	25282.6	13502.1	0.534047	0.514921	11.9292
49.1998	101.116	25301.5	13529.4	0.53473	0.514259	11.9697
49.2998	101.115	25320.4	13556.8	0.535412	0.5136	12.0103
49.3998	101.114	25339.3	13584.2	0.536092	0.512943	12.0509
49.4998	101.113	25358.2	13611.6	0.536772	0.512288	12.0917
49.5998	101.112	25377.1	13638.9	0.537451	0.511637	12.1325
49.6998	101.111	25396	13666.3	0.538129	0.510988	12.1734
49.7998	101.11	25414.9	13693.7	0.538805	0.510341	12.2144
49.8998	101.109	25433.8	13721.1	0.539481	0.509697	12.2554
49.9998	101.108	25452.7	13748.4	0.540156	0.509056	12.2966
50.0998	101.108	25471.6	13775.8	0.540829	0.508417	12.3378
50.1998	101.107	25490.5	13803.2	0.541502	0.507781	12.3791
50.2998	101.106	25509.4	13830.5	0.542174	0.507147	12.4205
50.3998	101.105	25528.3	13857.9	0.542844	0.506516	12.462
50.4998	101.104	25547.2	13885.3	0.543514	0.505888	12.5035
50.5998	101.103	25566.1	13912.6	0.544182	0.505262	12.5452
50.6998	101.102	25585	13940	0.54485	0.504638	12.5869
50.7998	101.101	25603.9	13967.4	0.545516	0.504017	12.6287
50.8998	101.1	25622.8	13994.7	0.546181	0.503398	12.6706
50.9998	101.099	25641.8	14022.1	0.546846	0.502782	12.7125
51.0998	101.098	25660.7	14049.5	0.547509	0.502168	12.7546
51.1998	101.097	25679.6	14076.8	0.548172	0.501556	12.7967
51.2998	101.096	25698.5	14104.2	0.548833	0.500947	12.8389
51.3998	101.095	25717.4	14131.5	0.549494	0.50034	12.8812
51.4998	101.094	25736.3	14158.9	0.550153	0.499736	12.9236
51.5998	101.093	25755.2	14186.3	0.550811	0.499134	12.9661
51.6998	101.092	25774.1	14213.6	0.551469	0.498534	13.0086
51.7998	101.091	25793	14241	0.552125	0.497936	13.0512
51.8998	101.09	25811.9	14268.3	0.552781	0.497341	13.094
51.9998	101.09	25830.8	14295.7	0.553435	0.496748	13.1367
52.0998	101.089	25849.7	14323	0.554089	0.496158	13.1796
52.1998	101.088	25868.6	14350.4	0.554741	0.495569	13.2226
52.2998	101.087	25887.5	14377.7	0.555393	0.494983	13.2656
52.3998	101.086	25906.4	14405.1	0.556043	0.4944	13.3087
52.4998	101.085	25925.3	14432.4	0.556693	0.493818	13.3519
52.5998	101.084	25944.2	14459.8	0.557341	0.493239	13.3952
52.6998	101.083	25963.1	14487.1	0.557989	0.492661	13.4386
52.7998	101.082	25982	14514.5	0.558635	0.492086	13.482
52.8998	101.081	26001	14541.8	0.559281	0.491514	13.5256
52.9998	101.08	26019.9	14569.2	0.559925	0.490943	13.5692
53.0998	101.079	26038.8	14596.5	0.560569	0.490374	13.6129
53.1998	101.078	26057.7	14623.9	0.561212	0.489808	13.6567
53.2998	101.077	26076.6	14651.2	0.561853	0.489244	13.7005
53.3998	101.076	26095.5	14678.6	0.562494	0.488682	13.7445
53.4998	101.075	26114.4	14705.9	0.563134	0.488122	13.7885
53.5998	101.074	26133.3	14733.2	0.563773	0.487564	13.8326
53.6998	101.073	26152.2	14760.6	0.564411	0.487008	13.8768
53.7998	101.072	26171.1	14787.9	0.565047	0.486454	13.9211
53.8997	101.071	26190	14815.2	0.565683	0.485902	13.9654
53.9997	101.07	26208.9	14842.6	0.566318	0.485352	14.0099
54.0997	101.069	26227.8	14869.9	0.566952	0.484805	14.0544
54.1997	101.068	26246.7	14897.3	0.567585	0.484259	14.099
54.2997	101.067	26265.6	14924.6	0.568217	0.483715	14.1437
54.3997	101.066	26284.5	14951.9	0.568849	0.483174	14.1885
54.4997	101.064	26303.4	14979.2	0.569479	0.482634	14.2333
54.5997	101.063	26322.3	15006.6	0.570108	0.482096	14.2783
54.6997	101.062	26341.2	15033.9	0.570736	0.481561	14.3233
54.7997	101.061	26360.1	15061.2	0.571364	0.481027	14.3684
54.8997	101.06	26379.1	15088.6	0.57199	0.480495	14.4135
54.9997	101.059	26398	15115.9	0.572616	0.479965	14.4588
55.0997	101.058	26416.9	15143.2	0.57324	0.479437	14.5042
55.1997	101.057	26435.8	15170.5	0.573864	0.478911	14.5496
55.2997	101.056	26454.7	15197.9	0.574486	0.478387	14.5951
55.3997	101.055	26473.6	15225.2	0.575108	0.477865	14.6407
55.4997	101.054	26492.5	15252.5	0.575729	0.477344	14.6864
55.5997	101.053	26511.4	15279.8	0.576349	0.476826	14.7321
55.6997	101.052	26530.3	15307.1	0.576968	0.476309	14.778
55.7997	101.051	26549.2	15334.4	0.577586	0.475795	14.8239
55.8997	101.05	26568.1	15361.8	0.578203	0.475282	14.8699
55.9997	101.048	26587	15389.1	0.578819	0.47477	14.916
56.0997	101.047	26605.9	15416.4	0.579434	0.474261	14.9621
56.1997	101.046	26624.8	15443.7	0.580049	0.473754	15.0084
56.2997	101.045	26643.7	15471	0.580662	0.473248	15.0547
56.3997	101.044	26662.6	15498.3	0.581274	0.472744	15.1011
56.4997	101.043	26681.5	15525.6	0.581886	0.472242	15.1476
56.5997	101.042	26700.4	15552.9	0.582497	0.471742	15.1942
56.6997	101.041	26719.3	15580.2	0.583106	0.471243	15.2409
56.7997	101.039	26738.3	15607.5	0.583715	0.470746	15.2876
56.8997	101.038	26757.2	15634.8	0.584323	0.470251	15.3345
56.9997	101.037	26776.1	15662.1	0.58493	0.469758	15.3814
57.0997	101.036	26795	15689.4	0.585536	0.469266	15.4284
57.1997	101.035	26813.9	15716.7	0.586141	0.468776	15.4754
57.2997	101.034	26832.8	15744	0.586746	0.468288	15.5226
57.3997	101.032	26851.7	15771.3	0.587349	0.467802	15.5698
57.4997	101.031	26870.6	15798.6	0.587951	0.467317	15.6172
57.5997	101.03	26889.5	15825.9	0.588553	0.466834	15.6646
57.6997	101.029	26908.4	15853.2	0.589154	0.466353	15.712
57.7997	101.028	26927.3	15880.5	0.589753	0.465873	15.7596
57.8997	101.027	26946.2	15907.8	0.590352	0.465395	15.8073
57.9997	101.025	26965.1	15935	0.59095	0.464918	15.855
58.0997	101.024	26984	15962.3	0.591547	0.464443	15.9028
58.1997	101.023	27002.9	15989.6	0.592143	0.46397	15.9507
58.2997	101.022	27021.8	16016.9	0.592739	0.463499	15.9987
58.3997	101.02	27040.7	16044.2	0.593333	0.463029	16.0468
58.4997	101.019	27059.6	16071.4	0.593926	0.46256	16.0949
58.5997	101.018	27078.5	16098.7	0.594519	0.462094	16.1431
58.6997	101.017	27097.5	16126	0.595111	0.461629	16.1915
58.7997	101.016	27116.4	16153.3	0.595702	0.461165	16.2398
58.8997	101.014	27135.3	16180.5	0.596292	0.460703	16.2883
58.9997	101.013	27154.2	16207.8	0.596881	0.460243	16.3369
